id,q4.1_1,q4.1_2,q4.1_3,q4.1_4,q4.1_5,q4.1_6,q4.1_7,q4.1_8,q4.1_9,q4.1_10,q4.1_11,q4.1_12,q4.1_13,q4.1_14,q4.1_15,q4.1_16,q4.1_17,q4.1_18,q4.1_19,q4.1_20,q4.1_21,q4.1_22,q4.1_23,q4.2_1,q4.2_2,q4.2_3,q4.2_4,q4.2_5,q4.2_6,q4.2_7,q4.2_8,q4.2_9,q4.2_10,q4.2_11,q4.2_12,q4.2_13,q4.2_14,q4.2_15,q4.2_16,q4.2_17,q4.2_18,q4.2_19,q4.2_20,q4.3_1,q4.3_2,q4.3_3,q4.3_4,q4.3_5,q4.3_6,q4.3_7,q4.3_8,q4.3_9,q4.3_10,q4.3_11,q4.3_12,q4.3_13,q4.3_14,q4.3_15,q4.3_16,q4.3_17,q4.3_18,q4.3_19,q4.3_20,q4.4_1,q4.4_2,q4.4_3,q4.4_4,q4.4_5,q4.4_6,q4.4_7,q4.4_8,q4.4_9,q4.4_10,q4.4_11,q4.4_12,q4.4_13,q4.4_14,q4.4_15,q4.4_16,q4.4_17,q4.4_18,q4.4_19,q5.1_1,q5.1_2,q5.1_3,q5.1_4,q5.1_5,q5.1_6,q5.1_7,q5.1_8,q5.1_9,q5.1_10,q5.1_11,q5.1_12,q5.1_13,q5.1_14,q5.1_15,q5.1_16,q5.1_17,q5.1_18,q5.1_19,q5.1_20,q5.1_21,q5.2_1,q5.2_2,q5.2_3,q5.2_4,q5.2_5,q5.2_6,q5.2_7,q5.2_8,q5.2_9,q5.2_10,q5.2_11,q5.2_12,q5.2_13,q5.2_14,q5.2_15,q5.2_16,q5.2_17,q5.2_18,q5.2_19,q5.2_20,q5.2_21,q6.3,q6.4,q6.5,q6.6,q6.7,q7.3,q7.4,q7.5,q7.6,q7.7,q8.1_1,q8.1_2,q8.1_3,q8.1_4,q8.1_5,q8.1_6,q8.1_7,q8.1_8,q8.1_9,q8.1_10,q8.1_11,q8.1_12,q8.1_13,q8.1_14,q8.1_15,q8.1_16,q8.1_17,q8.1_18,q8.1_19,q8.1_20,q8.1_21,math_edu_level,math_edu_level_txt1,math_edu_level_txt2,math_edu_level_txt2_processed,math_edu_level_txt3,math_edu_level_txt3_processed,math_gcse,math_gcse_processed,math_alevel,math_alevel_processed,math_ug,math_ug_processed,math_pg,math_pg_processed,stats_edu_level,stats_edu_level_txt1,stats_edu_level_txt1_processed,stats_edu_level_txt2,stats_edu_level_txt2_processed,stats_edu_level_txt3,stats_edu_level_txt3_processed,stats_gcse,stats_gcse_processed,stats_ug,stats_ug_processed,stats_pg,stats_pg_processed,course_year,age,gender_id,gender_id_other,ethnicity_white,ethnicity_black_carribean,ethnicity_black_african,ethnicity_black_other,ethnicity_indian,ethnicity_pakistani,ethnicity_bangladeshi,ethnicity_chinese,ethnicity_asian_other,ethnicity_arab,ethnicity_other,ethnicity_other_processed,ethnicity_pnts,eth_other_specify,eth_other_specify_processed,spld,spld_other,mcq
3Ve5y,1,1,2,2,2,1,3,4,1,4,2,2,2,1,4,2,1,1,2,1,1,1,2,1,2,3,2,2,1,2,3,4,1,3,3,4,2,1,1,2,1,1,3,2,4,2,3,2,2,4,2,3,3,1,1,1,2,3,1,2,1,2,1,1,3,3,4,2,2,3,2,2,3,3,2,3,3,1,1,1,2,1,4,4,3,4,4,2,3,3,3,4,2,4,4,3,4,4,4,3,4,3,4,3,2,3,2,2,1,2,2,2,3,2,2,2,2,2,3,4,2,4,4,4,NA,NA,NA,NA,NA,1,1,2,2,2,1,3,3,2,3,3,2,2,2,2,2,3,2,2,2,3,2,1,2,2,3,2,NA,GCSE - A,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,2,NA,NA,GCSE,NA,NA,NA,A,A,NA,NA,NA,NA,2,19,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
v365k,2,1,1,4,2,1,1,3,1,3,1,1,2,1,2,1,1,3,1,1,2,2,2,3,1,1,2,1,2,1,3,2,1,3,2,2,1,3,1,2,2,2,1,3,4,3,3,2,3,3,2,3,4,1,2,1,1,1,3,3,4,2,1,3,3,2,3,2,3,3,2,3,4,2,2,2,2,1,3,2,2,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,2,1,3,4,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,2,NA,GCSE- A,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,82,82,NA,NA,1,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
xAyO0,4,3,3,4,3,3,3,5,1,5,3,3,4,3,5,3,3,4,3,2,3,3,3,4,3,3,4,4,3,4,5,5,1,5,3,5,3,3,3,3,3,4,3,3,5,4,5,4,4,5,4,5,4,2,1,2,3,3,1,2,3,2,2,3,5,4,4,4,4,5,4,5,4,4,2,2,2,1,2,4,2,3,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,3,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,2,1,3,3,1,1,1,1,1,3,2,1,3,2,2,NA,GCSE Mathematics,NA,NA,NA,B,B,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,84,84,NA,NA,1,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,stats
CWM9S,4,3,3,4,2,2,3,4,3,3,3,3,4,2,5,3,2,4,3,2,2,4,2,4,2,3,4,3,3,3,4,4,3,4,3,5,3,3,2,3,2,5,3,3,4,3,4,3,3,4,3,4,4,3,3,2,2,3,2,2,2,3,2,3,4,3,4,4,5,5,3,4,4,3,3,3,2,2,2,3,4,2,3,2,3,4,3,3,3,2,3,3,2,3,3,3,2,3,3,3,2,3,2,3,2,2,4,2,2,2,2,3,2,2,2,3,2,2,3,3,2,4,2,2,NA,NA,NA,NA,NA,3,1,2,2,1,3,3,2,3,4,2,2,3,4,3,2,2,4,1,2,3,3,1,3,3,3,2,NA,GCSE mathematics,NA,NA,NA,B,B,NA,NA,NA,NA,NA,NA,2,NA,NA,GCSE statistics,NA,NA,NA,B,B,NA,NA,NA,NA,2,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
mh9Ug,1,2,1,2,2,1,2,3,1,3,2,1,1,2,3,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,3,3,2,2,2,3,1,1,1,2,2,2,1,2,2,3,3,2,3,2,2,3,4,1,2,2,2,2,1,1,2,1,2,2,3,2,3,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,4,2,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,NA,GCSE mathematics higher tier,NA,NA,NA,B,B,NA,NA,NA,NA,NA,NA,2,NA,NA,stats in my gcse maths course and currently doing it in psych undergrad course,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,,NA,NA,NA,7,NA,stats
shLvl,4,2,5,2,4,2,3,5,2,5,2,2,5,4,4,4,1,2,4,2,2,2,4,4,2,5,3,4,2,3,4,5,1,5,4,4,5,2,5,2,2,5,3,4,4,3,5,2,4,4,1,5,5,1,2,2,2,2,1,1,2,2,4,4,3,4,5,3,3,5,1,5,5,4,2,2,2,1,2,1,4,4,4,4,3,4,2,3,2,4,3,4,4,3,4,3,2,2,4,3,4,3,4,2,3,2,4,2,2,1,2,2,3,2,2,3,2,2,2,3,2,3,1,4,4,2,1,1,1,NA,NA,NA,NA,NA,3,3,2,4,3,2,2,2,3,4,4,3,3,3,3,1,4,3,4,3,4,2,NA,GCSE maths,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,82,82,NA,NA,2,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,stats
nvPxB,3,2,5,4,2,2,4,5,1,5,4,2,4,1,5,5,1,1,5,1,3,3,5,3,2,5,4,3,2,2,3,5,1,4,2,4,5,1,5,2,3,3,5,2,3,3,3,3,3,4,3,4,3,1,2,1,1,2,1,2,3,1,5,2,5,3,5,3,5,5,5,5,5,5,4,4,4,1,2,3,4,5,3,3,2,3,1,3,2,3,2,4,2,2,3,2,2,4,2,3,3,3,3,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,3,1,2,3,2,3,1,1,4,1,3,1,3,3,1,1,1,4,1,1,2,1,3,1,4,2,2,NA,GCSE maths,NA,NA,NA,B,B,NA,NA,NA,NA,NA,NA,2,NA,NA,GCSE statistics,NA,NA,NA,C,C,NA,NA,NA,NA,2,23,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
8Df2N,3,2,5,3,2,2,3,2,4,2,1,4,2,4,3,4,4,2,3,2,1,2,3,4,3,3,3,3,3,2,2,2,2,3,3,2,3,1,3,3,3,4,3,3,3,2,3,3,2,3,3,4,2,4,4,4,3,3,2,2,3,2,3,3,3,4,4,4,5,4,4,2,3,3,2,4,3,3,2,2,2,2,2,2,2,1,3,2,2,2,1,2,2,3,1,2,2,3,2,1,2,2,1,3,1,2,1,2,2,3,2,2,1,1,2,2,2,2,2,2,2,3,1,2,NA,NA,NA,NA,NA,3,4,2,2,3,2,2,2,1,4,2,2,1,3,2,2,3,2,2,3,3,2,2,3,3,3,2,NA,GCSE Maths,NA,NA,NA,B,B,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,7,NA,maths
YVlD9,5,5,5,5,4,5,5,5,2,2,5,3,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,3,4,5,4,5,4,4,3,5,4,5,4,5,4,5,5,5,5,5,5,5,5,4,4,2,4,4,3,4,4,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,3,2,3,2,3,2,2,1,1,1,2,2,2,3,2,1,1,2,1,3,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,4,2,4,3,2,NA,NA,NA,NA,NA,1,1,1,3,3,1,1,1,1,1,3,3,2,1,1,2,3,1,1,1,3,2,NA,GCSE maths,NA,NA,International,6,6,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,7,NA,stats
eFdyf,5,4,4,4,4,3,4,5,2,5,3,4,4,2,5,4,2,4,3,4,4,5,3,5,4,4,5,4,4,4,5,4,1,5,4,5,3,3,3,4,5,5,2,5,5,5,5,5,5,5,4,5,5,1,4,4,5,3,2,3,5,4,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,4,4,3,5,3,2,3,3,2,4,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,3,4,3,3,3,4,4,4,3,4,4,4,2,4,4,3,3,3,3,3,3,4,3,1,4,2,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,2,3,3,4,4,3,3,2,2,4,2,3,3,3,2,NA,GCSE Maths,NA,NA,NA,B,B,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,6,Dyslexia / Dyspraxia,stats
ivBBN,5,4,4,5,4,5,4,5,4,5,4,5,4,4,4,5,3,4,5,4,5,3,5,3,3,3,4,4,4,4,4,3,4,3,3,3,3,4,4,3,3,2,4,4,4,4,4,3,3,3,4,2,4,2,3,4,4,3,2,5,4,4,2,4,5,4,4,4,5,4,5,4,5,5,5,4,5,5,4,5,4,5,2,2,3,2,3,2,2,3,4,3,3,3,2,2,2,2,2,2,2,1,2,2,1,3,2,3,1,2,1,2,2,3,4,3,2,2,2,2,2,3,1,2,NA,NA,NA,NA,NA,1,4,2,3,2,2,2,3,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,2,1,3,2,NA,GCSE maths,NA,NA,International,B,B,NA,NA,NA,NA,NA,NA,1,No qualifications,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
WYzly,2,2,5,2,3,3,5,4,4,5,3,4,4,4,3,4,3,4,3,4,4,4,3,1,4,3,2,3,1,5,5,2,3,4,3,5,3,3,3,3,4,4,3,2,3,4,5,2,3,4,4,5,5,1,2,1,2,3,1,3,4,3,5,2,5,4,4,3,4,4,4,5,5,4,3,3,3,1,3,4,3,4,3,3,2,4,1,2,2,2,3,2,2,3,4,2,2,2,2,2,3,2,3,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,4,1,1,1,1,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,NA,GCSE maths A grade,NA,NA,NA,A,A,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,70,70,NA,NA,2,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,stats
1Ih2I,2,1,2,5,1,3,2,2,1,2,1,3,3,1,2,1,5,4,1,4,1,2,1,4,2,1,5,3,3,2,5,4,1,5,1,4,1,4,1,3,2,3,1,4,5,4,5,4,4,5,5,4,5,1,1,2,2,2,1,2,3,1,3,2,3,3,4,2,3,2,2,4,5,1,1,1,1,2,1,1,1,1,1,1,2,2,3,1,1,1,1,2,1,2,2,1,2,3,4,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,2,1,2,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,4,2,1,2,1,1,3,4,1,1,1,1,2,NA,Grade 6 Mathematics,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,3,NA,maths
HuGgu,2,4,4,3,3,3,4,5,1,5,1,3,4,3,4,4,2,2,3,3,3,3,4,2,3,3,2,3,3,3,5,5,1,4,4,4,4,3,3,3,3,4,4,3,3,4,4,2,2,3,3,5,3,1,3,3,4,3,2,3,1,3,3,3,4,4,5,1,2,5,1,5,5,3,3,4,2,1,3,1,3,1,2,3,3,2,2,3,2,2,3,3,3,3,2,2,3,2,2,2,3,3,2,3,2,2,3,3,3,2,3,2,3,3,2,2,2,2,3,2,2,3,2,3,2,3,2,2,2,NA,NA,NA,NA,NA,3,2,3,3,2,2,3,2,2,3,2,2,3,2,3,2,3,2,3,3,3,2,NA,High school,International,NA,International,A,A,A,A,80,80,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,NA,NA,NA,7,NA,stats
qtsaF,3,3,2,3,2,2,2,2,1,3,2,2,3,1,3,2,1,3,2,2,2,3,2,4,3,2,3,2,3,3,3,4,1,3,4,4,2,3,2,2,2,4,2,3,3,3,4,2,3,3,3,4,5,1,3,3,3,2,1,3,3,2,3,3,2,3,4,2,3,3,3,4,4,2,2,2,3,1,2,1,2,2,2,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,2,2,NA,NA,NA,NA,NA,3,1,2,3,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,NA,I studied maths for 4 years in my high school,International,NA,International,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,71,71,NA,NA,2,23,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
2ljI4,3,2,2,4,2,3,4,4,3,2,3,2,2,2,4,2,2,2,3,2,2,3,2,4,3,4,4,3,2,3,3,4,2,1,2,4,4,2,2,2,3,4,3,4,3,4,3,4,4,4,4,4,3,1,2,2,2,2,3,3,3,2,1,3,3,3,3,3,3,3,2,4,4,3,4,3,3,2,2,2,2,2,3,3,2,1,2,3,2,2,1,2,3,1,2,3,2,1,1,1,1,1,2,2,2,2,1,2,2,2,3,1,2,2,1,1,1,2,1,1,1,1,1,1,4,4,4,2,1,NA,NA,NA,NA,NA,3,2,3,1,1,2,2,2,1,1,3,1,1,1,2,1,1,1,2,1,1,2,NA,IB,International,NA,International,C,International,NA,NA,Research Skills 1 & 2= 48 & 50,NA,NA,NA,2,NA,NA,IB,International,NA,NA,NA,NA,47,47,NA,NA,2,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,stats
TYpN5,2,2,1,2,2,2,2,3,1,3,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,3,2,3,2,3,2,2,2,2,2,2,2,3,4,2,3,4,2,2,4,1,2,2,2,2,1,2,1,3,2,2,2,2,3,2,2,3,2,4,3,2,2,2,2,1,2,2,3,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,IGCSE,iGCSE,NA,International,A,A,NA,NA,57 (for stats),NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,57,57,NA,NA,2,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
RVT2W,2,2,3,2,2,1,2,1,1,1,2,2,2,2,3,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,3,2,1,2,1,1,2,2,1,2,1,3,2,3,2,3,3,2,1,1,1,1,1,1,2,1,1,2,2,2,2,3,2,3,3,3,3,2,2,3,2,2,1,2,2,2,2,2,3,2,3,2,1,3,1,3,4,2,2,2,2,1,2,3,2,2,2,3,2,3,2,3,2,1,2,1,1,3,2,1,2,1,1,2,3,1,2,2,3,NA,NA,NA,NA,NA,3,1,1,3,1,2,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,NA,Mathematics and Further Mathematics GCSE,Further Maths,NA,International,6,6,NA,NA,NA,NA,NA,NA,2,NA,NA,Statistics GCSE,NA,NA,NA,D,D,NA,NA,NA,NA,1,19,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
hI9jc,3,3,4,3,3,3,3,5,2,5,2,2,4,3,5,4,2,3,4,2,3,4,4,3,3,3,4,2,2,3,5,5,2,4,3,5,2,3,3,3,2,4,3,3,3,4,4,3,4,5,4,5,5,1,2,2,2,2,1,1,3,2,4,3,4,4,5,5,5,5,4,4,5,2,2,3,1,1,2,2,3,4,3,1,3,4,4,2,1,3,4,4,1,2,4,2,2,3,3,3,4,3,4,1,1,3,4,4,2,1,1,4,3,2,1,4,1,1,4,4,1,3,1,1,NA,NA,NA,NA,NA,3,1,3,1,1,3,2,3,3,2,1,2,2,4,3,3,2,4,1,3,3,4,2,3,2,3,2,NA,Maths and further maths gcse,Further Maths,NA,International,A,A,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,62,62,NA,NA,2,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
tvlk3,2,2,2,2,2,2,2,4,2,4,2,2,2,2,3,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,5,4,2,2,2,3,2,2,2,2,2,3,2,2,5,5,5,2,3,5,2,5,5,2,2,2,2,2,1,2,2,2,2,2,5,4,4,2,3,4,2,3,5,3,3,3,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,maths aqa,NA,NA,International,a,A,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,stats
l4jNS,5,4,4,5,5,3,4,5,5,5,2,4,5,3,5,4,2,5,4,4,5,5,4,5,4,4,5,4,3,5,5,5,3,5,4,5,3,5,3,4,5,5,3,5,5,5,5,5,5,5,5,5,5,1,4,3,4,5,2,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,5,3,5,5,3,5,2,2,1,3,2,2,2,2,1,3,4,1,2,1,1,4,4,2,4,3,1,1,1,1,3,1,1,1,1,1,3,4,1,1,1,1,4,4,1,2,2,1,NA,NA,NA,NA,NA,1,1,3,2,NA,3,1,1,3,2,2,1,1,1,1,3,1,1,1,1,3,2,2,3,3,1,3,NA,NA,NA,NA,International,A,A,U,U,50,50,40,40,3,NA,NA,NA,NA,NA,NA,NA,NA,50,50,40,40,2,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
8EaGy,5,3,3,4,3,1,3,5,2,5,2,2,4,3,5,2,2,1,2,3,4,2,1,5,3,3,4,2,2,5,5,5,2,5,3,5,3,1,2,3,5,3,1,5,5,5,5,5,5,5,4,5,5,1,2,1,3,3,1,3,5,4,3,5,5,5,5,5,5,5,4,5,5,1,1,1,1,2,4,5,3,2,3,3,4,4,4,2,2,3,3,4,4,3,4,1,2,4,4,3,4,3,4,4,1,2,2,3,1,1,3,4,4,3,1,2,1,1,3,3,2,4,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,4,2,2,2,1,4,4,4,4,2,4,1,2,1,4,4,4,2,4,2,NA,NA,NA,NA,International,B,B,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,42,2,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,stats
7YO3Y,4,3,3,2,3,2,4,4,1,3,2,3,2,2,5,3,1,1,2,2,2,3,2,3,2,3,2,3,3,2,4,3,1,1,2,4,3,1,2,3,4,1,3,4,4,4,4,2,3,3,3,4,3,1,3,2,2,3,1,3,5,1,3,4,4,3,5,2,3,3,2,4,5,3,3,3,2,1,2,1,2,4,2,2,3,3,1,3,1,1,2,3,4,2,3,2,1,2,4,3,3,3,1,1,2,1,3,1,1,1,1,1,4,4,1,3,1,1,1,4,1,3,1,1,NA,NA,NA,NA,NA,3,1,1,1,4,1,1,1,2,1,2,1,1,1,3,4,1,1,1,2,1,4,2,2,2,1,2,NA,NA,NA,NA,International,A,A,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56,1,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
p8RLh,3,4,4,2,2,3,4,4,1,3,1,2,3,3,4,3,1,1,2,3,4,2,4,2,4,4,4,1,2,1,5,4,1,2,2,4,2,1,2,4,2,2,2,3,4,3,4,2,4,4,3,4,4,1,1,1,1,1,1,2,3,2,1,3,4,3,4,3,4,5,2,4,4,4,3,3,3,1,1,2,2,2,1,1,3,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,3,1,3,4,1,1,1,1,1,2,1,1,1,1,1,3,1,2,1,1,1,1,2,1,1,1,2,NA,NA,NA,NA,International,B,B,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,C,C,NA,NA,61,61,4,21,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,NA,maths
zYR17,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,2,1,2,2,1,2,1,2,1,3,2,1,2,2,1,2,2,1,3,3,2,1,2,3,3,3,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,4,1,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,A*,A*,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,63,1,24,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,stats
0xgXT,5,5,5,5,4,5,5,5,2,5,5,5,5,4,5,4,2,4,4,5,4,5,4,5,5,4,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4,1,4,3,3,2,3,4,4,2,2,2,1,3,4,4,3,2,2,4,3,4,1,4,2,3,4,1,1,3,1,NA,NA,NA,NA,NA,2,3,4,3,3,2,2,2,4,4,4,3,4,2,4,4,4,1,4,3,3,2,NA,NA,NA,NA,International,C,C,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,D,D,NA,NA,65,65,1,27,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,2,NA,stats
V3htf,2,2,2,2,2,2,3,4,2,4,3,4,2,2,3,3,2,3,3,2,2,3,3,2,2,2,1,2,2,3,4,4,2,3,2,3,3,2,3,2,2,2,2,2,4,2,4,2,3,4,1,4,3,1,2,1,2,2,1,3,1,1,2,2,4,3,4,3,3,3,2,4,4,3,2,3,3,2,3,2,3,3,3,2,4,3,2,3,2,2,3,4,2,2,3,2,3,2,3,2,4,3,2,2,2,3,2,2,3,2,2,2,2,2,1,2,2,2,3,2,2,3,2,2,NA,NA,NA,NA,NA,3,1,2,3,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,NA,NA,NA,AS Level,AS Level,A*,A*,A (AS Level),A,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,1,22,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,7,NA,maths
